"RecipeID","Name","식품대분류","식품상세분류","1회제공량(g)","calories","carbohydrate","protein","fat","sugar","sodium"
"43","연포탕","국 및 탕류","어패류국.탕","1000","541.64","20.19","94.9","9.03","0.23","2337.46"
"44","우럭매운탕","국 및 탕류","어패류국.탕","600","406.82","11.24","52.15","17.03","1.08","1773.88"
"45","전복탕","국 및 탕류","어패류국.탕","600","196.85","15.8","26.8","3","1.3","1774.4"
"46","조기매운탕","국 및 탕류","어패류국.탕","600","384.38","17.3","35.1","19.4","4.3","2272.92"
"47","짱뚱어탕","국 및 탕류","어패류국.탕","600","188.77","16.6","11.5","8.5","2.4","2050.9"
"48","추어탕","국 및 탕류","어패류국.탕","1000","316.72","26.8","22.7","13.2","0","2635.78"
"49","해물탕","국 및 탕류","어패류국.탕","600","267.81","16.6","39.8","4.7","0.8","2046.24"
"50","갈비탕","국 및 탕류","육류국.탕","670","363.24","2.68","57","13.83","0.77","1330.59"
"51","감자된장국","국 및 탕류","채소류국.탕","400","98.19","14.78","4.34","2.41","3.09","1429.93"
"52","감잣국","국 및 탕류","채소류국.탕","400","82.47","14.67","3.59","1.05","3.41","859.81"
"53","곰탕","국 및 탕류","육류국.탕","600","145.15","0.66","20.57","6.69","0","744.08"
"54","굴무국","국 및 탕류","어패류국.탕","500","123.09","14.63","12.04","1.82","0.72","1253.34"
"55","근대된장국","국 및 탕류","채소류국.탕","400","38.84","2.71","3.49","1.56","3.31","1304.1"
"56","김치콩나물국","국 및 탕류","채소류국.탕","400","48.33","4.61","3.27","1.86","1.97","919.38"
"57","김칫국","국 및 탕류","채소류국.탕","400","90.78","10.52","5.36","3.03","0.13","832.47"
"58","꼬리곰탕","국 및 탕류","육류국.탕","500","135.9","4.23","22.51","3.22","0","96.89"
"59","냉이된장국","국 및 탕류","채소류국.탕","400","86.47","8.81","6.85","2.65","1.18","943.35"
"60","달걀국","국 및 탕류","기타 국류","400","52.37","2.74","3.73","2.94","0","984.54"
"61","닭개장","국 및 탕류","육류국.탕","700","142.98","9.88","19.17","2.97","4","1168.18"
"62","닭곰탕","국 및 탕류","육류국.탕","650","330.4","13.01","48.8","9.24","1.93","1105.06"
"63","대합미역국","국 및 탕류","어패류국.탕","400","44.84","2.24","4.93","1.8","0.05","927.64"
"64","도가니탕","국 및 탕류","육류국.탕","500","198.17","4.1","41.76","1.63","0","751.98"
"65","동태국","국 및 탕류","어패류국.탕","400","66.87","5.61","9.66","0.64","0","895.7"
"66","메밀묵국","국 및 탕류","기타 국류","400","87.38","14.26","3.99","1.59","1.12","953.71"
"67","무시래기된장국","국 및 탕류","채소류국.탕","400","61.11","8.11","5.22","0.86","0","779.28"
"68","미역국","국 및 탕류","어패류국.탕","400","46.36","3.49","2.58","2.45","1.08","670.7"
"69","미역냉국","국 및 탕류","냉국류","350","128.81","26.28","0.66","2.34","15.7","518.61"
"70","미역된장국","국 및 탕류","어패류국.탕","400","96.16","9.1","6.25","3.86","2.43","1219.4"
"71","미역오이냉국","국 및 탕류","냉국류","350","21.8","2.98","1.31","0.52","2.42","1144.4"
"72","배추된장국","국 및 탕류","채소류국.탕","400","79.08","10.33","5.85","1.6","0","890.79"
"73","북엇국","국 및 탕류","어패류국.탕","400","111.03","3.36","15.56","3.93","0.46","929.98"
"74","뼈해장국","국 및 탕류","육류국.탕","800","206.01","8.46","25.55","7.77","5.07","2764.62"
"75","사골국","국 및 탕류","육류국.탕","400","220.99","11.24","22.25","9.67","0","298.77"
"76","삼계탕","국 및 탕류","육류국.탕","900","911.39","34.57","96.09","43.19","4.03","736.67"
"77","새우미역국","국 및 탕류","어패류국.탕","400","63.22","7.31","4.35","1.84","0","20.5"
"78","새우탕","국 및 탕류","어패류국.탕","500","163.1","10","25.84","2.19","0.3","1340.99"
